dropout1;dropout2;dropout3;learning_rate;batch_size;filters;val_accuracy;val_precision;val_recall;val_auc;
0.1;0.2;0.5;0.001;16;(16, 32, 64);0.5062500238418579;0.5064935088157654;0.48750001192092896;0.5143163800239563;
0.1;0.2;0.5;0.001;16;(8, 16, 32);0.5249999761581421;0.7857142686843872;0.06875000149011612;0.5210937261581421;
0.1;0.2;0.5;0.001;32;(16, 32, 64);0.45625001192092896;0.36538460850715637;0.11874999850988388;0.43359375;
0.1;0.2;0.5;0.001;32;(8, 16, 32);0.5;0.0;0.0;0.5;
0.1;0.2;0.5;0.0005;16;(16, 32, 64);0.49687498807907104;0.0;0.0;0.4937500059604645;
0.1;0.2;0.5;0.0005;16;(8, 16, 32);0.5;0.5;0.012500000186264515;0.5652148723602295;
0.1;0.2;0.5;0.0005;32;(16, 32, 64);0.5;0.0;0.0;0.5;
0.1;0.2;0.5;0.0005;32;(8, 16, 32);0.578125;0.5494071245193481;0.8687499761581421;0.5794335603713989;Best recall
0.1;0.4;0.5;0.001;16;(16, 32, 64);0.4937500059604645;0.0;0.0;0.33080074191093445;
0.1;0.4;0.5;0.001;16;(8, 16, 32);0.5062500238418579;0.625;0.03125;0.5535547137260437;
0.1;0.4;0.5;0.001;32;(16, 32, 64);0.5;0.0;0.0;0.4906249940395355;
0.1;0.4;0.5;0.001;32;(8, 16, 32);0.528124988079071;0.6800000071525574;0.10625000298023224;0.46101561188697815;
0.1;0.4;0.5;0.0005;16;(16, 32, 64);0.4937500059604645;0.0;0.0;0.4498632848262787;
0.1;0.4;0.5;0.0005;16;(8, 16, 32);0.5093749761581421;0.6363636255264282;0.04374999925494194;0.7370312809944153;
0.1;0.4;0.5;0.0005;32;(16, 32, 64);0.515625;0.5247524976730347;0.33125001192092896;0.5021094083786011;
0.1;0.4;0.5;0.0005;32;(8, 16, 32);0.528124988079071;0.8461538553237915;0.06875000149011612;0.6084569692611694;best precision/accuracy 
0.3;0.2;0.5;0.001;16;(16, 32, 64);0.5;0.0;0.0;0.5062500238418579;
0.3;0.2;0.5;0.001;16;(8, 16, 32);0.5;0.5;0.012500000186264515;0.5315234661102295;
0.3;0.2;0.5;0.001;32;(16, 32, 64);0.5;0.0;0.0;0.5;
0.3;0.2;0.5;0.001;32;(8, 16, 32);0.5;0.0;0.0;0.5;
0.3;0.2;0.5;0.0005;16;(16, 32, 64);0.5;0.0;0.0;0.5;
0.3;0.2;0.5;0.0005;16;(8, 16, 32);0.49687498807907104;0.3333333432674408;0.0062500000931322575;0.5118359923362732;
0.3;0.2;0.5;0.0005;32;(16, 32, 64);0.5;0.0;0.0;0.503125011920929;
0.3;0.2;0.5;0.0005;32;(8, 16, 32);0.5;0.0;0.0;0.443359375;
0.3;0.4;0.5;0.001;16;(16, 32, 64);0.4906249940395355;0.2857142984867096;0.012500000186264515;0.4933789074420929;
0.3;0.4;0.5;0.001;16;(8, 16, 32);0.5;0.0;0.0;0.5;
0.3;0.4;0.5;0.001;32;(16, 32, 64);0.515625;0.5274725556373596;0.30000001192092896;0.5115038752555847;
0.3;0.4;0.5;0.001;32;(8, 16, 32);0.5406249761581421;0.6065573692321777;0.23125000298023224;0.503125011920929;
0.3;0.4;0.5;0.0005;16;(16, 32, 64);0.484375;0.3684210479259491;0.04374999925494194;0.4601757526397705;
0.3;0.4;0.5;0.0005;16;(8, 16, 32);0.5;0.0;0.0;0.5;
0.3;0.4;0.5;0.0005;32;(16, 32, 64);0.4156250059604645;0.39534884691238403;0.3187499940395355;0.43378907442092896;
0.3;0.4;0.5;0.0005;32;(8, 16, 32);0.5625;0.8571428656578064;0.15000000596046448;0.6804491877555847;best precision /accuracy