optimizer,filters,dropout,learning_rate,val_accuracy,val_precision,val_recall,val_auc,batch_size
adam,"[16, 32, 64]",0.5,0.002,0.862500011920929,0.8310502171516418,0.9100000262260437,0.9388124942779541,128
adam,"[16, 32, 64]",0.5,0.001,0.7799999713897705,0.7641509175300598,0.8100000023841858,0.8668999671936035,128
adam,"[16, 32, 64]",0.5,0.0005,0.8349999785423279,0.7938596606254578,0.9049999713897705,0.9275500178337097,128
adam,"[16, 32, 64]",0.3,0.002,0.8075000047683716,0.7594936490058899,0.8999999761581421,0.9027250409126282,128
adam,"[16, 32, 64]",0.3,0.001,0.8174999952316284,0.7634854912757874,0.9200000166893005,0.9220375418663025,128
adam,"[16, 32, 64]",0.3,0.0005,0.8075000047683716,0.7551867365837097,0.9100000262260437,0.9156875014305115,128
adam,"[16, 32, 64]",0.2,0.002,0.8525000214576721,0.8983050584793091,0.7950000166893005,0.9319750070571899,128
adam,"[16, 32, 64]",0.2,0.001,0.8174999952316284,0.7772925496101379,0.8899999856948853,0.922712504863739,128
adam,"[16, 32, 64]",0.2,0.0005,0.8324999809265137,0.8445596098899841,0.8149999976158142,0.9124749898910522,128
adam,"[8, 16, 32]",0.5,0.002,0.8125,0.7572016716003418,0.9200000166893005,0.9207500219345093,128
adam,"[8, 16, 32]",0.5,0.001,0.8224999904632568,0.7945205569267273,0.8700000047683716,0.9237500429153442,128
adam,"[8, 16, 32]",0.5,0.0005,0.8149999976158142,0.7863636612892151,0.8650000095367432,0.9134625792503357,128
adam,"[8, 16, 32]",0.3,0.002,0.8174999952316284,0.7702127695083618,0.9049999713897705,0.9110000729560852,128
adam,"[8, 16, 32]",0.3,0.001,0.8500000238418579,0.8888888955116272,0.800000011920929,0.9402625560760498,128
adam,"[8, 16, 32]",0.3,0.0005,0.8224999904632568,0.8115941882133484,0.8399999737739563,0.9116999506950378,128
adam,"[8, 16, 32]",0.2,0.002,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.9440374970436096,128
adam,"[8, 16, 32]",0.2,0.001,0.8374999761581421,0.7973568439483643,0.9049999713897705,0.927312433719635,128
adam,"[8, 16, 32]",0.2,0.0005,0.7774999737739563,0.7110266089439392,0.9350000023841858,0.9232500195503235,128
adam,"[32, 64, 128]",0.5,0.002,0.8349999785423279,0.7991071343421936,0.8949999809265137,0.9192374348640442,128
adam,"[32, 64, 128]",0.5,0.001,0.8424999713897705,0.8215962648391724,0.875,0.9242624640464783,128
adam,"[32, 64, 128]",0.5,0.0005,0.8224999904632568,0.7721518874168396,0.9150000214576721,0.9280750155448914,128
adam,"[32, 64, 128]",0.3,0.002,0.8500000238418579,0.8571428656578064,0.8399999737739563,0.9264125227928162,128
adam,"[32, 64, 128]",0.3,0.001,0.8125,0.7682403326034546,0.8949999809265137,0.9128875136375427,128
adam,"[32, 64, 128]",0.3,0.0005,0.8600000143051147,0.8673469424247742,0.8500000238418579,0.934237539768219,128
adam,"[32, 64, 128]",0.2,0.002,0.824999988079071,0.85326087474823,0.7850000262260437,0.9022625088691711,128
adam,"[32, 64, 128]",0.2,0.001,0.7900000214576721,0.7319999933242798,0.9150000214576721,0.909262478351593,128
adam,"[32, 64, 128]",0.2,0.0005,0.7649999856948853,0.7345132827758789,0.8299999833106995,0.8639000654220581,128
rmsprop,"[16, 32, 64]",0.5,0.002,0.7574999928474426,0.7172995805740356,0.8500000238418579,0.8601875305175781,128
rmsprop,"[16, 32, 64]",0.5,0.001,0.7300000190734863,0.6631205677986145,0.9350000023841858,0.8891000151634216,128
rmsprop,"[16, 32, 64]",0.5,0.0005,0.8149999976158142,0.7837837934494019,0.8700000047683716,0.9045000076293945,128
rmsprop,"[16, 32, 64]",0.3,0.002,0.7124999761581421,0.6872246861457825,0.7799999713897705,0.8230375051498413,128
rmsprop,"[16, 32, 64]",0.3,0.001,0.7350000143051147,0.68359375,0.875,0.8409624695777893,128
rmsprop,"[16, 32, 64]",0.3,0.0005,0.6299999952316284,0.5769230723381042,0.9750000238418579,0.8287500143051147,128
rmsprop,"[16, 32, 64]",0.2,0.002,0.7024999856948853,0.6336633563041687,0.9599999785423279,0.9083999395370483,128
rmsprop,"[16, 32, 64]",0.2,0.001,0.8149999976158142,0.8841463327407837,0.7250000238418579,0.9089500308036804,128
rmsprop,"[16, 32, 64]",0.2,0.0005,0.8475000262260437,0.8839778900146484,0.800000011920929,0.9315999746322632,128
rmsprop,"[8, 16, 32]",0.5,0.002,0.6524999737739563,0.5950155854225159,0.9549999833106995,0.8010625243186951,128
rmsprop,"[8, 16, 32]",0.5,0.001,0.8374999761581421,0.8534031510353088,0.8149999976158142,0.9158875346183777,128
rmsprop,"[8, 16, 32]",0.5,0.0005,0.8125,0.7593361139297485,0.9150000214576721,0.9142000675201416,128
rmsprop,"[8, 16, 32]",0.3,0.002,0.824999988079071,0.8494623899459839,0.7900000214576721,0.9151625037193298,128
rmsprop,"[8, 16, 32]",0.3,0.001,0.8224999904632568,0.8241205811500549,0.8199999928474426,0.9020500183105469,128
rmsprop,"[8, 16, 32]",0.3,0.0005,0.7925000190734863,0.7407407164573669,0.8999999761581421,0.8799000382423401,128
rmsprop,"[8, 16, 32]",0.2,0.002,0.75,0.6879699230194092,0.9150000214576721,0.8547999858856201,128
rmsprop,"[8, 16, 32]",0.2,0.001,0.7275000214576721,0.6903765797615051,0.824999988079071,0.848425030708313,128
rmsprop,"[8, 16, 32]",0.2,0.0005,0.7950000166893005,0.8314606547355652,0.7400000095367432,0.8817375302314758,128
rmsprop,"[32, 64, 128]",0.5,0.002,0.7975000143051147,0.832402229309082,0.7450000047683716,0.8811874985694885,128
rmsprop,"[32, 64, 128]",0.5,0.001,0.7900000214576721,0.7357723712921143,0.9049999713897705,0.9049999117851257,128
rmsprop,"[32, 64, 128]",0.5,0.0005,0.7749999761581421,0.904411792755127,0.6150000095367432,0.8808624744415283,128
rmsprop,"[32, 64, 128]",0.3,0.002,0.7350000143051147,0.6740740537643433,0.9100000262260437,0.8744250535964966,128
rmsprop,"[32, 64, 128]",0.3,0.001,0.7074999809265137,0.6498194932937622,0.8999999761581421,0.8465750217437744,128
rmsprop,"[32, 64, 128]",0.3,0.0005,0.6150000095367432,0.5782312750816345,0.8500000238418579,0.6579874753952026,128
rmsprop,"[32, 64, 128]",0.2,0.002,0.6600000262260437,0.6379310488700867,0.7400000095367432,0.747362494468689,128
rmsprop,"[32, 64, 128]",0.2,0.001,0.5674999952316284,0.5380281805992126,0.9549999833106995,0.6907750368118286,128
rmsprop,"[32, 64, 128]",0.2,0.0005,0.8125,0.7828054428100586,0.8650000095367432,0.9137750267982483,128
